id;name;geoname;value;datetime
1293;Demanda real;Península;34002;2026-07-04T15:00:00+02:00
1293;Demanda real;Península;34081;2026-07-04T15:05:00+02:00
1293;Demanda real;Península;34137;2026-07-04T15:10:00+02:00
1293;Demanda real;Península;34004;2026-07-04T15:15:00+02:00
1293;Demanda real;Península;34015;2026-07-04T15:20:00+02:00
1293;Demanda real;Península;34024;2026-07-04T15:25:00+02:00
1293;Demanda real;Península;34003;2026-07-04T15:30:00+02:00
1293;Demanda real;Península;33895;2026-07-04T15:35:00+02:00
1293;Demanda real;Península;33778;2026-07-04T15:40:00+02:00
1293;Demanda real;Península;33871;2026-07-04T15:45:00+02:00
1293;Demanda real;Península;33913;2026-07-04T15:50:00+02:00
1293;Demanda real;Península;33888;2026-07-04T15:55:00+02:00
1293;Demanda real;Península;33894;2026-07-04T16:00:00+02:00
1293;Demanda real;Península;33689;2026-07-04T16:05:00+02:00
1293;Demanda real;Península;33686;2026-07-04T16:10:00+02:00
1293;Demanda real;Península;33756;2026-07-04T16:15:00+02:00
1293;Demanda real;Península;33916;2026-07-04T16:20:00+02:00
1293;Demanda real;Península;33879;2026-07-04T16:25:00+02:00
1293;Demanda real;Península;33636;2026-07-04T16:30:00+02:00
1293;Demanda real;Península;33778;2026-07-04T16:35:00+02:00
1293;Demanda real;Península;33699;2026-07-04T16:40:00+02:00
1293;Demanda real;Península;33873;2026-07-04T16:45:00+02:00
1293;Demanda real;Península;33742;2026-07-04T16:50:00+02:00
1293;Demanda real;Península;33782;2026-07-04T16:55:00+02:00
1293;Demanda real;Península;33702;2026-07-04T17:00:00+02:00
1293;Demanda real;Península;33556;2026-07-04T17:05:00+02:00
1293;Demanda real;Península;33859;2026-07-04T17:10:00+02:00
1293;Demanda real;Península;33778;2026-07-04T17:15:00+02:00
1293;Demanda real;Península;33865;2026-07-04T17:20:00+02:00
1293;Demanda real;Península;33676;2026-07-04T17:25:00+02:00
1293;Demanda real;Península;33880;2026-07-04T17:30:00+02:00
1293;Demanda real;Península;33799;2026-07-04T17:35:00+02:00
1293;Demanda real;Península;33817;2026-07-04T17:40:00+02:00
1293;Demanda real;Península;33919;2026-07-04T17:45:00+02:00
1293;Demanda real;Península;33845;2026-07-04T17:50:00+02:00
1293;Demanda real;Península;34047;2026-07-04T17:55:00+02:00
1293;Demanda real;Península;34177;2026-07-04T18:00:00+02:00
1293;Demanda real;Península;34204;2026-07-04T18:05:00+02:00
1293;Demanda real;Península;34355;2026-07-04T18:10:00+02:00
1293;Demanda real;Península;34483;2026-07-04T18:15:00+02:00
1293;Demanda real;Península;34683;2026-07-04T18:20:00+02:00
1293;Demanda real;Península;34718;2026-07-04T18:25:00+02:00
1293;Demanda real;Península;34660;2026-07-04T18:30:00+02:00
1293;Demanda real;Península;34991;2026-07-04T18:35:00+02:00
1293;Demanda real;Península;34952;2026-07-04T18:40:00+02:00
1293;Demanda real;Península;34765;2026-07-04T18:45:00+02:00
1293;Demanda real;Península;34766;2026-07-04T18:50:00+02:00
1293;Demanda real;Península;34951;2026-07-04T18:55:00+02:00
1293;Demanda real;Península;35188;2026-07-04T19:00:00+02:00
1293;Demanda real;Península;35086;2026-07-04T19:05:00+02:00
1293;Demanda real;Península;35156;2026-07-04T19:10:00+02:00
1293;Demanda real;Península;35487;2026-07-04T19:15:00+02:00
1293;Demanda real;Península;35238;2026-07-04T19:20:00+02:00
1293;Demanda real;Península;35269;2026-07-04T19:25:00+02:00
1293;Demanda real;Península;35363;2026-07-04T19:30:00+02:00
1293;Demanda real;Península;35349;2026-07-04T19:35:00+02:00
1293;Demanda real;Península;35224;2026-07-04T19:40:00+02:00
1293;Demanda real;Península;35439;2026-07-04T19:45:00+02:00
1293;Demanda real;Península;35085;2026-07-04T19:50:00+02:00
1293;Demanda real;Península;34979;2026-07-04T19:55:00+02:00
544;Demanda prevista;Península;36118;2026-07-03T21:00:00+02:00
544;Demanda prevista;Península;35885;2026-07-03T21:05:00+02:00
544;Demanda prevista;Península;35687;2026-07-03T21:10:00+02:00
544;Demanda prevista;Península;35524;2026-07-03T21:15:00+02:00
544;Demanda prevista;Península;35381;2026-07-03T21:20:00+02:00
544;Demanda prevista;Península;35241;2026-07-03T21:25:00+02:00
544;Demanda prevista;Península;35102;2026-07-03T21:30:00+02:00
544;Demanda prevista;Península;34971;2026-07-03T21:35:00+02:00
544;Demanda prevista;Península;34851;2026-07-03T21:40:00+02:00
544;Demanda prevista;Península;34741;2026-07-03T21:45:00+02:00
544;Demanda prevista;Península;34630;2026-07-03T21:50:00+02:00
544;Demanda prevista;Península;34506;2026-07-03T21:55:00+02:00
544;Demanda prevista;Península;34368;2026-07-03T22:00:00+02:00
544;Demanda prevista;Península;34225;2026-07-03T22:05:00+02:00
544;Demanda prevista;Península;34087;2026-07-03T22:10:00+02:00
544;Demanda prevista;Península;33955;2026-07-03T22:15:00+02:00
544;Demanda prevista;Península;33818;2026-07-03T22:20:00+02:00
544;Demanda prevista;Península;33669;2026-07-03T22:25:00+02:00
544;Demanda prevista;Península;33508;2026-07-03T22:30:00+02:00
544;Demanda prevista;Península;33342;2026-07-03T22:35:00+02:00
544;Demanda prevista;Península;33178;2026-07-03T22:40:00+02:00
544;Demanda prevista;Península;33015;2026-07-03T22:45:00+02:00
544;Demanda prevista;Península;32841;2026-07-03T22:50:00+02:00
544;Demanda prevista;Península;32642;2026-07-03T22:55:00+02:00
544;Demanda prevista;Península;32419;2026-07-03T23:00:00+02:00
544;Demanda prevista;Península;32199;2026-07-03T23:05:00+02:00
544;Demanda prevista;Península;32009;2026-07-03T23:10:00+02:00
544;Demanda prevista;Península;31849;2026-07-03T23:15:00+02:00
544;Demanda prevista;Península;31700;2026-07-03T23:20:00+02:00
544;Demanda prevista;Península;31540;2026-07-03T23:25:00+02:00
544;Demanda prevista;Península;31371;2026-07-03T23:30:00+02:00
544;Demanda prevista;Península;31204;2026-07-03T23:35:00+02:00
544;Demanda prevista;Península;31052;2026-07-03T23:40:00+02:00
544;Demanda prevista;Península;30914;2026-07-03T23:45:00+02:00
544;Demanda prevista;Península;30763;2026-07-03T23:50:00+02:00
